,SKU,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
57,00667210033700,,,13662.9195,43771.97814,7872.98454,63893.57358,820.6482,7682.664,13095.45,,,,,,,,,,,,,,,
58,00667210039700,,,17531.391,92101.533,48890.358,83864.24844,23227.85847,33087.414,53860.87773,44939.622,41235.807,47902.674,32099.73,35847.99078,25983.49683,,,,,,,,,
59,00667210040700,,,28106.29,107515.025,117843.24,224511.69,59598.88,148997.2,144595.01,148997.2,131049.81,130541.865,,,,,,,,,,,,
60,00667210042400,,,12190.284,18061.812,20390.94,24566.544,12969.612,21028.572,19523.052,17676.576,16565.148,12584.376,15117.192,17512.74,15781.392,,,,,,,,,
61,00667210046700,,,4875.228,10312.812,10808.748,13793.22,6323.184,11636.784,9883.296,9971.856,8196.228,5092.2,8298.072,7749.0,6686.28,,,,,,,,,
62,00667210049600,,,79.524,4267.788,1060.32,265.08,,,,,,,,,,,,,,,,,,
63,00667210050500,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
64,00667210050900,,,11582.21,13979.915,18927.135,16850.91,19619.21,30942.45,17824.28,25249.575,14953.285,15368.53,17154.53,10354.335,13899.545,,,,,,,,,
65,00667210051000,,,10381.125,17609.96,29227.89,25959.51,31375.555,49476.665,18355.615,38086.45,24986.14,31174.63,25432.64,15926.655,22789.36,,,,,,,,,
66,00667210051100,,,9903.37,25624.635,35478.89,32478.41,33442.85,52244.965,31777.405,59085.345,41591.475,26294.385,47244.165,27571.375,20137.15,,,,,,,,,
67,00667210122000,,,6257.508,9222.148,14023.806,12986.182,11053.872,12213.258,11847.972,15585.536,22838.316,17470.2,5018.712,10789.172,8629.22,,,,,,,,,
68,00667210177800,,,1785.78,3042.44,5304.428,6349.44,3955.172,7870.66,7275.4,5225.06,4788.536,4775.308,5740.952,6918.244,3346.684,,,,,,,,,
69,00667210181000,,,36593.284,63410.1,82689.152,84868.316,61040.408,83475.08,86202.012,67970.864,66565.72,66184.664,88524.072,69685.616,54455.284,,,,,,,,,
70,00667210188900,,,43724.78,101430.23,124718.836,141936.641,46661.659,99441.034,121050.083,88200.2,88631.818,89241.713,63185.122,86135.94,64939.743,,,,,,,,,
71,00667210224300,,,77602.288,64584.72,137817.808,156510.04,72467.816,207491.984,84203.752,146799.824,93498.232,124405.688,137658.928,107699.456,103730.104,,,,,,,,,
72,00667215141000,,,6003.826,9106.06,10996.725,12455.238,10580.007,12987.711,12339.483,10433.384,10958.14,10155.572,10055.251,9731.137,9553.646,,,,,,,,,
73,00440000456600,,,,1881.6,556652.544,210409.92,386819.328,370750.464,205997.568,366432.192,244118.784,173295.36,263772.096,205602.432,151073.664,,,,,,,,,
74,00440000457500,,,,,1108.548,2584.386,1475.838,2030.112,2143.638,2844.828,2584.386,2771.37,1576.008,1843.128,1742.958,,,,,,,,,
75,00440000312000,,,,,,,,1004843.625,40740.375,0.0,,,,,,,,,,,,,,
76,00667210038500,,,,,,,,,4090.716,130389.588,37604.952,,,,,,,,,,,,,
77,00440000312300,,,,,,,,,,2672311.725,1318385.25,102061.575,,,,,,,,,,,,
