,SKU,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
0,00193200009300,,,6840.0,11109.0,12234.0,10413.0,12504.0,13737.0,10602.0,12660.0,9981.0,9885.0,12708.0,10584.0,8541.0,,,,,,,,,
1,00440000045900,,,294462.0,671295.6,873514.8,650257.2,691318.8,593136.0,4503.6,4017.6,1684.8,1566.0,1328.4,2052.0,1738.8,,,,,,,,,
2,00440000046300,,,1316088.0,3215332.8,5382925.2,3726313.2,3412508.4,2796649.2,1881111.6,2534079.6,2451643.2,2671747.2,1678946.4,1705795.2,1575644.4,,,,,,,,,
3,00440000048800,,,209044.8,492318.0,701460.0,526910.4,603331.2,583275.6,426708.0,514328.4,538282.8,550227.6,361238.4,321634.8,309204.0,,,,,,,,,
4,00440000048900,,,185511.6,417430.8,596181.6,443728.8,536727.6,509857.2,398671.2,457520.4,390474.0,364003.2,339746.4,317152.8,273304.8,,,,,,,,,
5,00440000339000,,,6332.628,57279.096,360188.04,162190.338,145544.724,20647.116,,,,,,,,,,,,,,,,
6,00440003161100,,,729356.22,1524852.18,2042090.28,1168602.66,1424261.52,1443110.76,1125753.84,1509044.04,1147956.66,1026915.3,1352525.04,1188774.36,1051545.42,,,,,,,,,
